epoch,iteration,generation_best_cost,generation_best_reward,generation_mean_cost,generation_mean_reward,generation_std_cost,best_cost_so_far,best_reward_so_far,eval_mean_cost,eval_mean_reward,eval_std_cost,saved_best,target_return,target_reached
0,1,78.52772874313688,-78.52772874313688,86.40630092069514,-86.40630092069514,5.35112862457651,78.52772874313688,-78.52772874313688,,,,0,950.0,0
1,2,82.53249352465852,-82.53249352465852,88.4165168989084,-88.4165168989084,3.669784883075733,78.52772874313688,-78.52772874313688,,,,0,950.0,0
2,3,79.99617374959415,-79.99617374959415,83.90871861797707,-83.90871861797707,2.8165163456464204,78.52772874313688,-78.52772874313688,81.21015896018217,-81.21015896018217,4.924392221043043,1,950.0,0
3,4,77.86341914441485,-77.86341914441485,80.0979476194161,-80.0979476194161,1.762691030655352,77.86341914441485,-77.86341914441485,,,,0,950.0,0
4,5,77.68597929290954,-77.68597929290954,79.91799714798731,-79.91799714798731,1.3917335025481672,77.68597929290954,-77.68597929290954,,,,0,950.0,0
5,6,72.04972673722688,-72.04972673722688,80.12335102820948,-80.12335102820948,4.675494492889177,72.04972673722688,-72.04972673722688,76.48338007852941,-76.48338007852941,9.02041935432842,1,950.0,0
6,7,76.20711228953378,-76.20711228953378,81.84836800930924,-81.84836800930924,3.5740326361513257,72.04972673722688,-72.04972673722688,,,,0,950.0,0
7,8,77.10826747281318,-77.10826747281318,82.99167414189654,-82.99167414189654,4.981544250864109,72.04972673722688,-72.04972673722688,,,,0,950.0,0
8,9,67.33355805987071,-67.33355805987071,76.0736319044833,-76.0736319044833,5.5270299547178094,67.33355805987071,-67.33355805987071,72.82588997538731,-72.82588997538731,7.602601232930408,1,950.0,0
9,10,63.448063924677825,-63.448063924677825,71.13693542413756,-71.13693542413756,5.479568498494213,63.448063924677825,-63.448063924677825,,,,0,950.0,0
10,11,63.22118749211271,-63.22118749211271,75.78599226394003,-75.78599226394003,9.75940960995121,63.22118749211271,-63.22118749211271,,,,0,950.0,0
11,12,67.31034391843001,-67.31034391843001,76.68276970915531,-76.68276970915531,7.088413639892408,63.22118749211271,-63.22118749211271,70.9253198992204,-70.9253198992204,8.017978610768104,1,950.0,0
12,13,77.40854839646173,-77.40854839646173,81.13163903063864,-81.13163903063864,2.6058843628415485,63.22118749211271,-63.22118749211271,,,,0,950.0,0
13,14,76.22028663593258,-76.22028663593258,80.32043074395794,-80.32043074395794,3.3224914093371507,63.22118749211271,-63.22118749211271,,,,0,950.0,0
